Дагестан (fix);7;872;1,5
Дагестан Махачкала (fix);7;8722;1,5
Ингушетия (fix);7;873;3,64
Ингушетия Назрань(fix);7;8732;3,64
Иркутская (fix);7;395;2,74
Иркутская Ангарск (fix);7;39555;2,74
Иркутская Ангарск (fix);7;39556;2,74
Иркутская Ангарск (fix);7;39559;2,74
Иркутская Братск (fix);7;39531;2,74
Иркутская Братск (fix);7;39532;2,74
Иркутская Братск (fix);7;39533;2,74
Иркутская Братск (fix);7;39534;2,74
Иркутская Иркутск (fix);7;3952;1,88
Кабардино-Балкария (fix);7;866;1,53
Кабардино-Балкария Нальчик (fix);7;8662;1,53
Калининградская (fix);7;401;1,61
Калининградская Калининград (fix);7;4012;1,54
Калмыкия (fix);7;847;1,5
Калмыкия Элиста (fix);7;8472;1,44
Калужская (fix);7;484;1,71
Калужская Боровск (fix);7;48438;1,71
Калужская Калуга (fix);7;4842;1,46
Калужская Обнинск (fix);7;48439;1,71
Камчатская (fix);7;415;2,65
Камчатская Петропавловск-Камчатский (fix);7;4152;2,65
Карачаево-Черкессия (fix);7;878;1,5
Карачаево-Черкессия Черкесск (fix);7;8782;1,42
Карелия (fix);7;814;2,41
Карелия Петрозаводск (fix);7;8142;2,11
Карелия Сегежа (fix);7;81431;2,41
Кемеровская (fix);7;384;2,35
Кемеровская Анжеро-Судженск (fix);7;38453;2,35
Кемеровская Белово (fix);7;38452;2,35
Кемеровская Калтан (fix);7;38472;2,35
Кемеровская Кемерово (fix);7;3842;1,59
Кемеровская Киселевск (fix);7;38464;2,35
Кемеровская Ленинск Кузнецкий (fix);7;38456;2,35
Кемеровская Междуреченск (fix);7;38475;2,35
Кемеровская Мыски (fix);7;38474;2,35
Кемеровская Новокузнецк (fix);7;3843;2,35
Кемеровская Прокопьевск (fix);7;38466;2,35
Кемеровская Таштагол (fix);7;38473;2,35
Кемеровская Юрга (fix);7;38451;2,35
Кировская (fix);7;833;1,66
Кировская Киров (fix);7;8332;1,56
Костромская (fix);7;494;1,71
Костромская Кострома (fix);7;4942;1,46
Краснодарский (fix);7;861;1,53
Краснодарский Анапа (fix);7;86133;1,01
Краснодарский Геленджик (fix);7;86141;1,01
Краснодарский Краснодар (fix);7;8612;1,04
Краснодарский Краснодар (fix);7;86194;1,04
Краснодарский Краснодар (fix);7;86199;1,04
Краснодарский Новороссийск (fix);7;8617;1,08
Краснодарский Сочи (fix);7;862;1,4
Краснодарский Темрюк (fix);7;86148;1,01
Краснодарский Тимашевск (fix);7;86130;1,01
Красноярский (fix);7;391;2,74
Красноярский Ачинск (fix);7;39151;2,74
Красноярский Енисейск (fix);7;39195;2,61
Красноярский Железногорск (fix);7;39197;0,81
Красноярский Кодинск (fix);7;39143;2,74
Красноярский Красноярск (fix);7;3912;1,88
Красноярский Красноярск (fix);7;391986;1,88
Красноярский Красноярск (fix);7;391987;1,88
Красноярский Красноярск (fix);7;391988;1,88
Красноярский Красноярск (fix);7;391989;1,88
Красноярский Норильск (fix);7;39192;1,88
